Date,Open,High,Low,Close,Adj Close,Volume
2023-08-25,0.265884,0.270064,0.259707,0.261080,0.261080,226745372
2023-08-26,0.261075,0.261614,0.258455,0.260953,0.260953,131669884
2023-08-27,0.260955,0.264941,0.260313,0.263446,0.263446,144926713
2023-08-28,0.263453,0.267606,0.258775,0.267434,0.267434,162632681
2023-08-29,0.267421,0.278574,0.260564,0.272449,0.272449,338279148
2023-08-30,0.272464,0.272822,0.261397,0.265654,0.265654,217687329
2023-08-31,0.265676,0.266164,0.252524,0.255373,0.255373,203402067
2023-09-01,0.255368,0.258559,0.252679,0.255185,0.255185,174494416
2023-09-02,0.255188,0.257197,0.254274,0.256230,0.256230,116288308
2023-09-03,0.256242,0.256613,0.253593,0.255793,0.255793,99655432
2023-09-04,0.255799,0.259466,0.254010,0.256146,0.256146,96786285
2023-09-05,0.256146,0.258256,0.254369,0.257614,0.257614,91567308
2023-09-06,0.257621,0.259266,0.253398,0.257667,0.257667,116742728
2023-09-07,0.257670,0.259131,0.253412,0.257720,0.257720,112745360
2023-09-08,0.257740,0.259108,0.253027,0.254370,0.254370,100457117
2023-09-09,0.254378,0.255632,0.253371,0.253492,0.253492,58257359
2023-09-10,0.253495,0.253495,0.245461,0.249052,0.249052,130899937
2023-09-11,0.249040,0.249382,0.237626,0.241873,0.241873,135478337
2023-09-12,0.241868,0.251331,0.241102,0.245870,0.245870,120715898
2023-09-13,0.245869,0.249715,0.243924,0.248884,0.248884,103707077
2023-09-14,0.248884,0.252265,0.246928,0.251181,0.251181,111430594
2023-09-15,0.251186,0.254678,0.245705,0.250643,0.250643,126290025
2023-09-16,0.250600,0.253605,0.248867,0.250436,0.250436,88723252
2023-09-17,0.250431,0.251167,0.245800,0.247316,0.247316,85817848
2023-09-18,0.247327,0.255868,0.245121,0.251743,0.251743,123063381
2023-09-19,0.251741,0.257544,0.251228,0.255260,0.255260,105915013
2023-09-20,0.255268,0.256033,0.250999,0.251630,0.251630,106833619
2023-09-21,0.251640,0.252905,0.245440,0.245455,0.245455,248242483
2023-09-22,0.245458,0.246383,0.243236,0.244922,0.244922,120378252
2023-09-23,0.244916,0.246675,0.243996,0.246133,0.246133,68761491
2023-09-24,0.246136,0.246228,0.242565,0.243026,0.243026,75004199
2023-09-25,0.243028,0.246064,0.242182,0.245881,0.245881,116640933
2023-09-26,0.245872,0.247396,0.243954,0.245395,0.245395,106282468
2023-09-27,0.245391,0.247922,0.243107,0.244791,0.244791,107855435
2023-09-28,0.244789,0.250441,0.243497,0.249120,0.249120,133206511
2023-09-29,0.249114,0.255447,0.247974,0.249536,0.249536,168414042
2023-09-30,0.249539,0.254673,0.249322,0.254047,0.254047,108039965
